2014-03-03 16:03:08.385 TouchPointLogger[4653:60b] (01, 162.500000,	254.500000)
2014-03-03 16:03:08.402 TouchPointLogger[4653:60b] (01, 163.000000,	257.000000)
2014-03-03 16:03:08.418 TouchPointLogger[4653:60b] (01, 163.500000,	259.500000)
2014-03-03 16:03:08.435 TouchPointLogger[4653:60b] (01, 163.500000,	261.500000)
2014-03-03 16:03:08.452 TouchPointLogger[4653:60b] (01, 164.000000,	263.500000)
2014-03-03 16:03:08.468 TouchPointLogger[4653:60b] (01, 164.500000,	265.500000)
2014-03-03 16:03:08.485 TouchPointLogger[4653:60b] (01, 165.000000,	268.000000)
2014-03-03 16:03:08.502 TouchPointLogger[4653:60b] (01, 165.500000,	270.000000)
2014-03-03 16:03:08.518 TouchPointLogger[4653:60b] (01, 166.000000,	273.000000)
2014-03-03 16:03:08.535 TouchPointLogger[4653:60b] (01, 166.500000,	275.000000)
2014-03-03 16:03:08.552 TouchPointLogger[4653:60b] (01, 167.000000,	277.000000)
2014-03-03 16:03:08.568 TouchPointLogger[4653:60b] (01, 167.500000,	278.500000)
2014-03-03 16:03:08.585 TouchPointLogger[4653:60b] (01, 167.500000,	280.500000)
2014-03-03 16:03:08.602 TouchPointLogger[4653:60b] (01, 168.000000,	281.500000)
2014-03-03 16:03:08.618 TouchPointLogger[4653:60b] (01, 168.000000,	282.500000)
2014-03-03 16:03:08.635 TouchPointLogger[4653:60b] (01, 168.000000,	283.500000)
2014-03-03 16:03:08.652 TouchPointLogger[4653:60b] (01, 168.000000,	284.000000)
2014-03-03 16:03:08.668 TouchPointLogger[4653:60b] (01, 168.000000,	285.000000)
2014-03-03 16:03:08.685 TouchPointLogger[4653:60b] (01, 168.000000,	285.500000)
2014-03-03 16:03:08.702 TouchPointLogger[4653:60b] (01, 168.000000,	286.000000)
2014-03-03 16:03:08.718 TouchPointLogger[4653:60b] (01, 168.000000,	286.500000)
2014-03-03 16:03:08.735 TouchPointLogger[4653:60b] (01, 168.000000,	287.000000)
2014-03-03 16:03:08.752 TouchPointLogger[4653:60b] (01, 168.000000,	287.500000)
2014-03-03 16:03:08.768 TouchPointLogger[4653:60b] (01, 168.000000,	288.000000)
2014-03-03 16:03:08.802 TouchPointLogger[4653:60b] (01, 168.000000,	288.500000)
2014-03-03 16:03:08.952 TouchPointLogger[4653:60b] (01, 170.500000,	288.500000)
